VERB,LEVIN CHAPTER MENTIONS (comma-separated)
grow,"01.1.2.1, 02.2, 02.4.1, 02.4.2, 02.4.3, 02.4.4, 02.13.5, 03.8, 06.1, 06.2, 26.1, 26.2, 45.4, 45.6, 47.2, 48.1.1"
guarantee,"01.1.2.1, 02.1, 02.6, 13.3, 29.5"
hand,"01.3, 02.1, 02.5.1, 02.5.2, 07.2, 11.1, 15.1, 22.4, 39.7"
heave,"01.3, 02.1, 07.7, 07.8, 11.4, 12"
hoist,"02.1, 02.3.1, 09.4, 11.4"
honor,"02.10, 02.13.1, 02.13.2, 02.13.3, 02.14, 29.2, 33.1"
hurl,"02.1, 02.8, 17.1"
impeach,"02.10, 02.13.1, 02.13.2, 02.13.3, 33.2"
improve,"01.1.2.1, 45.4"
introduce,"02.1, 02.5.1, 02.5.2, 02.5.5, 22.2"
investigate,"02.11, 30.2, 35.4"
iron,"01.2.1, 02.2, 02.3.3, 10.4.2, 26.3"
issue,"01.1.2.1, 02.1, 02.6, 06.1, 06.2, 13.3, 13.4.1, 48.1.1"
kidnap,"02.2, 02.3.2, 10.5"
leak,"01.1.3, 43.4"
liberate,"02.2, 02.3.2, 10.5"
lift,"02.1, 02.2, 02.3.1, 02.3.2, 09.4, 10.5"
line/sew,"01.2.1, 02.2, 02.3.1, 03.5, 09.8, 47.8 / 01.2.1, 02.2, 02.3.1, 02.4.3, 02.5.1, 02.5.2, 03.8, 03.9, 09.7, 22.3, 26.1"
love,"02.10, 02.13.1, 02.13.2, 02.13.3, 07.2, 09.9, 31.2"
magnify,"01.1.2.1, 45.4"
mail,"01.3, 02.1, 11.1"
measure,54.1
mention,"02.1, 37.7"
mock,"02.10, 02.13.1, 02.13.2, 02.13.3, 33.2"
mourn,"02.10, 02.13.1, 02.13.2, 02.13.3, 31.2, 31.3"
mumble,"02.1, 07.1, 07.3, 37.3"
name,"02.1, 02.14, 29.3"
narrate,"02.1, 37.1"
omit,"02.3.2, 03.7, 07.7, 10.1"
paint,"01.2.2, 02.2, 02.7, 02.14, 06.1, 06.2, 07.2, 24, 25.1, 25.2, 26.7, 29.2"
pass,"01.1.2.1, 01.2.4, 01.3, 01.4.2, 02.1, 02.5.4, 06.1, 06.2, 11.1, 13.1, 17.1, 36.2"
pay,"01.1.2.1, 02.1, 13.1, 68.1"
peddle,"01.1.2.1, 02.1, 13.1"
pilfer,"02.3.2, 10.5"
pitch,"02.1, 02.8, 07.2, 09.9, 17.1"
plagiarize,"02.2, 02.3.2, 10.5"
play,"01.2.1, 01.2.4, 01.4.2, 02.2, 02.5.4, 26.7, 36.3"
pollute,"02.3.1, 03.5, 09.8"
pour,"01.1.3, 01.2.8, 02.2, 02.3.1, 07.7, 9.5, 26.3, 43.4, 57"
preach,"02.1, 37.1"
present,"02.1, 02.6, 04.2, 13.4.1, 48.1.2"
proffer/turned in,"01.1.2.1, 02.1, 04.2, 13.2, 48.1.2"
promise,"01.1.2.1, 02.1, 02.6, 13.3"
propose,"02.1, 37.7"
provide,"02.1, 02.6, 13.4.1"
punish,"02.10, 02.13.1, 02.13.2, 02.13.3, 33.2"
purge,"02.3.2, 02.3.3, 10.4.1, 10.6"
purify,"01.1.2.1, 02.3.2, 10.6, 45.4"
purvey,none
push,"01.2.7, 01.3, 02.1, 02.3.1, 02.5.3, 02.5.4, 02.5.6, 07.7, 07.8, 09.3, 11.4, 12, 23.2"
quote,"02.1, 37.1"
radiate,"01.1.3, 02.3.4, 06.1, 06.2, 43.4"
radio,"02.1, 37.4"
read,"01.2.1, 02.1, 14, 37.1, 54.1"
recite,"01.2.1, 02.1, 02.2, 26.7, 37.1"
recommend,"02.1, 02.14, 04.2, 29.2, 48.1.2"
regain,"02.2, 02.3.2, 10.5, 13.5.2"
relay,"02.1, 37.1, 37.4"
remove,"01.2.8, 02.3.2, 10.1, 10.2"
rent,"01.1.2.1, 02.1, 02.2, 03.9, 13.1, 13.5.1"
reproduce,"01.1.2.1, 45.4"
rescue,"02.2, 02.3.2, 10.5"
respect,"02.10, 02.13.1, 02.13.2, 02.13.3, 31.2"
retrieve,"02.2, 02.3.2, 10.5, 13.5.2"
reveal,"02.1, 02.14, 03.4, 29.2, 37.7"
revitalize,"01.2.5, 02.13.4, 31.1"
ridicule,"02.10, 02.13.1, 02.13.2, 02.13.3, 33.2"
sadden,"01.1.2.1, 01.2.5, 02.13.4, 31.1, 31.3"
schlep,"02.1, 07.7, 11.4"
scold,"02.10, 02.13.1, 02.13.2, 02.13.3, 33.2"
scream,"02.1, 02.3.4, 07.1, 07.3, 07.8, 37.3, 38, 43.2"
scrutinize,"02.10, 02.11, 02.13.1, 02.13.2, 02.13.3, 30.2, 34, 35.4"
seize,"02.2, 02.3.2, 06.1, 10.5, 13.5.2"
sell,"01.1.2.1, 02.1, 13.1"
send,"01.3, 02.1, 11.1"
serve,"01.1.2.1, 02.1, 02.6, 03.6, 13.1, 13.4.1, 29.6, 54.3"
sew,"01.2.1, 02.2, 02.3.1, 02.4.1, 02.4.3, 02.5.1, 02.5.2, 03.8, 03.9, 09.7, 22.3, 26.1"
show,"01.2.2, 02.1, 02.3.1, 03.4, 04.2, 06.1, 06.2, 8.3, 29.5, 37.1, 40.3.2, 48.1.1, 48.1.2"
shuttle,"02.1, 11.5"
sicken,"01.1.2.1, 01.2.5, 02.13.4, 31.1, 31.3, 40.8.4, 45.4"
signal,"02.1, 37.4"
sing,"01.2.1, 02.1, 02.2, 02.3.4, 06.1, 06.2, 07.1, 07.3, 07.8, 26.7, 37.3, 38, 43.2"
